Filename                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
tracing-appender/src/lib.rs                                         4                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
tracing-appender/src/non_blocking.rs                              605               121    80.00%          40                 2    95.00%         345                43    87.54%          10                 1    90.00%
tracing-appender/src/rolling.rs                                  1616               247    84.72%          78                12    84.62%         882                68    92.29%          60                 8    86.67%
tracing-appender/src/rolling/builder.rs                           181                24    86.74%          14                 1    92.86%         130                13    90.00%           6                 0   100.00%
tracing-appender/src/worker.rs                                     66                 8    87.88%           7                 0   100.00%          43                 2    95.35%           4                 0   100.00%
tracing-attributes-internal/src/attr.rs                           935                86    90.80%          63                 0   100.00%         517                26    94.97%          84                 5    94.05%
tracing-attributes-internal/src/entry.rs                          223                24    89.24%          13                 0   100.00%         145                 6    95.86%           4                 1    75.00%
tracing-attributes-internal/src/expand.rs                         878                79    91.00%          55                 0   100.00%         585                52    91.11%          76                17    77.63%
tracing-attributes/src/lib.rs                                       8                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
tracing-core/src/callsite.rs                                      221                18    91.86%          27                 3    88.89%         149                22    85.23%          10                 1    90.00%
tracing-core/src/dispatcher.rs                                    796               148    81.41%          97                27    72.16%         478               105    78.03%          16                 1    93.75%
tracing-core/src/event.rs                                          66                 0   100.00%          12                 0   100.00%          49                 0   100.00%           0                 0         -
tracing-core/src/field.rs                                        1385               169    87.80%         122                19    84.43%         688                59    91.42%          52                20    61.54%
tracing-core/src/metadata.rs                                     1168               179    84.67%          94                10    89.36%         680                78    88.53%          40                 2    95.00%
tracing-core/src/span.rs                                          523                64    87.76%          43                 2    95.35%         263                 8    96.96%           2                 0   100.00%
tracing-core/src/subscriber.rs                                    409                64    84.35%          65                10    84.62%         246                35    85.77%           4                 1    75.00%
tracing-core/src/test_util.rs                                     452                46    89.82%          54                 6    88.89%         276                26    90.58%           6                 0   100.00%
tracing-error/src/backtrace.rs                                    183                11    93.99%          19                 1    94.74%         108                 4    96.30%          12                 3    75.00%
tracing-error/src/error.rs                                         51                 2    96.08%          10                 0   100.00%          38                 0   100.00%           0                 0         -
tracing-error/src/layer.rs                                        176                13    92.61%          13                 0   100.00%         102                 8    92.16%          18                 6    66.67%
tracing-error/src/lib.rs                                          128                21    83.59%          12                 3    75.00%          71                10    85.92%           4                 0   100.00%
tracing-flame/src/error.rs                                        172                36    79.07%          10                 1    90.00%          96                16    83.33%           0                 0         -
tracing-flame/src/lib.rs                                          279                16    94.27%          28                 1    96.43%         176                10    94.32%          32                10    68.75%
